path_id,plan_key,firm,account_name,contracts,month_index,month,stage,attempt,starting_balance,ending_balance,pnl,max_drawdown,floor,payouts,fees,cumulative_payouts,cumulative_fees,net_cash,status,strategy_path_id,account_path_id,prefix_application_basis
0,Apex Trader Funding - EOD PA 50K - Funded only,Apex Trader Funding,EOD PA 50K,1,1,2026-07,funded,1,50000.0,49596.367847146765,-403.6321528532353,488.6756825941047,48000.0,0.0,0.0,0.0,0.0,0.0,active,0,0,ACCOUNT_STATE_BEFORE_PREFIX
0,Apex Trader Funding - EOD PA 50K - Funded only,Apex Trader Funding,EOD PA 50K,1,2,2026-08,funded,1,49596.367847146765,49006.117847146765,-590.25,590.25,48000.0,0.0,0.0,0.0,0.0,0.0,active,0,0,ACCOUNT_STATE_BEFORE_PREFIX
1,Apex Trader Funding - EOD PA 50K - Funded only,Apex Trader Funding,EOD PA 50K,4,1,2026-07,funded,1,50000.0,48400.0,-1600.0,2050.2342434588063,48000.0,0.0,0.0,0.0,0.0,0.0,terminal,0,1,ACCOUNT_STATE_BEFORE_PREFIX
1,Apex Trader Funding - EOD PA 50K - Funded only,Apex Trader Funding,EOD PA 50K,4,2,2026-08,funded,1,48400.0,48400.0,0.0,0.0,48000.0,0.0,0.0,0.0,0.0,0.0,terminal,0,1,ACCOUNT_STATE_BEFORE_PREFIX
2,TakeProfitTrader - PRO 50K - Funded only,TakeProfitTrader,PRO 50K,1,1,2026-07,funded,1,50000.0,49596.367847146765,-403.6321528532353,488.6756825941047,48000.0,0.0,0.0,0.0,0.0,0.0,active,0,2,ACCOUNT_STATE_BEFORE_PREFIX
2,TakeProfitTrader - PRO 50K - Funded only,TakeProfitTrader,PRO 50K,1,2,2026-08,funded,1,49596.367847146765,49006.117847146765,-590.25,590.25,48000.0,0.0,0.0,0.0,0.0,0.0,active,0,2,ACCOUNT_STATE_BEFORE_PREFIX
3,TakeProfitTrader - PRO 50K - Funded only,TakeProfitTrader,PRO 50K,4,1,2026-07,funded,1,50000.0,48400.0,-1600.0,2050.2342434588063,48000.0,0.0,0.0,0.0,0.0,0.0,terminal,0,3,ACCOUNT_STATE_BEFORE_PREFIX
3,TakeProfitTrader - PRO 50K - Funded only,TakeProfitTrader,PRO 50K,4,2,2026-08,funded,1,48400.0,48400.0,0.0,0.0,48000.0,0.0,0.0,0.0,0.0,0.0,terminal,0,3,ACCOUNT_STATE_BEFORE_PREFIX
4,Apex Trader Funding - EOD PA 50K - Funded only,Apex Trader Funding,EOD PA 50K,1,1,2026-07,funded,1,50000.0,49685.125,-314.875,476.875,48000.0,0.0,0.0,0.0,0.0,0.0,active,1,4,ACCOUNT_STATE_BEFORE_PREFIX
4,Apex Trader Funding - EOD PA 50K - Funded only,Apex Trader Funding,EOD PA 50K,1,2,2026-08,funded,1,49685.125,50312.783648589335,627.6586485893313,0.0,48328.625,0.0,0.0,0.0,0.0,0.0,active,1,4,ACCOUNT_STATE_BEFORE_PREFIX
5,Apex Trader Funding - EOD PA 50K - Funded only,Apex Trader Funding,EOD PA 50K,4,1,2026-07,funded,1,50000.0,48092.5,-1907.5,2055.5229054282536,48000.0,0.0,0.0,0.0,0.0,0.0,terminal,1,5,ACCOUNT_STATE_BEFORE_PREFIX
5,Apex Trader Funding - EOD PA 50K - Funded only,Apex Trader Funding,EOD PA 50K,4,2,2026-08,funded,1,48092.5,48092.5,0.0,0.0,48000.0,0.0,0.0,0.0,0.0,0.0,terminal,1,5,ACCOUNT_STATE_BEFORE_PREFIX
6,TakeProfitTrader - PRO 50K - Funded only,TakeProfitTrader,PRO 50K,1,1,2026-07,funded,1,50000.0,49685.125,-314.875,476.875,48000.0,0.0,0.0,0.0,0.0,0.0,active,1,6,ACCOUNT_STATE_BEFORE_PREFIX
6,TakeProfitTrader - PRO 50K - Funded only,TakeProfitTrader,PRO 50K,1,2,2026-08,funded,1,49685.125,50312.783648589335,627.6586485893313,0.0,48346.07494806613,0.0,0.0,0.0,0.0,0.0,active,1,6,ACCOUNT_STATE_BEFORE_PREFIX
7,TakeProfitTrader - PRO 50K - Funded only,TakeProfitTrader,PRO 50K,4,1,2026-07,funded,1,50000.0,48092.5,-1907.5,2055.5229054282536,48000.0,0.0,0.0,0.0,0.0,0.0,terminal,1,7,ACCOUNT_STATE_BEFORE_PREFIX
7,TakeProfitTrader - PRO 50K - Funded only,TakeProfitTrader,PRO 50K,4,2,2026-08,funded,1,48092.5,48092.5,0.0,0.0,48000.0,0.0,0.0,0.0,0.0,0.0,terminal,1,7,ACCOUNT_STATE_BEFORE_PREFIX
8,Apex Trader Funding - EOD PA 50K - Funded only,Apex Trader Funding,EOD PA 50K,1,1,2026-07,funded,1,50000.0,49670.5,-329.5,466.75,48000.0,0.0,0.0,0.0,0.0,0.0,active,2,8,ACCOUNT_STATE_BEFORE_PREFIX
8,Apex Trader Funding - EOD PA 50K - Funded only,Apex Trader Funding,EOD PA 50K,1,2,2026-08,funded,1,49670.5,49305.12653677336,-365.3734632266387,365.37346322664234,48000.0,0.0,0.0,0.0,0.0,0.0,active,2,8,ACCOUNT_STATE_BEFORE_PREFIX
9,Apex Trader Funding - EOD PA 50K - Funded only,Apex Trader Funding,EOD PA 50K,4,1,2026-07,funded,1,50000.0,48133.0,-1867.0,2082.080570678052,48000.0,0.0,0.0,0.0,0.0,0.0,terminal,2,9,ACCOUNT_STATE_BEFORE_PREFIX
9,Apex Trader Funding - EOD PA 50K - Funded only,Apex Trader Funding,EOD PA 50K,4,2,2026-08,funded,1,48133.0,48133.0,0.0,0.0,48000.0,0.0,0.0,0.0,0.0,0.0,terminal,2,9,ACCOUNT_STATE_BEFORE_PREFIX
10,TakeProfitTrader - PRO 50K - Funded only,TakeProfitTrader,PRO 50K,1,1,2026-07,funded,1,50000.0,49670.5,-329.5,466.75,48000.0,0.0,0.0,0.0,0.0,0.0,active,2,10,ACCOUNT_STATE_BEFORE_PREFIX
10,TakeProfitTrader - PRO 50K - Funded only,TakeProfitTrader,PRO 50K,1,2,2026-08,funded,1,49670.5,49305.12653677336,-365.3734632266387,365.37346322664234,48000.0,0.0,0.0,0.0,0.0,0.0,active,2,10,ACCOUNT_STATE_BEFORE_PREFIX
11,TakeProfitTrader - PRO 50K - Funded only,TakeProfitTrader,PRO 50K,4,1,2026-07,funded,1,50000.0,48133.0,-1867.0,2082.080570678052,48000.0,0.0,0.0,0.0,0.0,0.0,terminal,2,11,ACCOUNT_STATE_BEFORE_PREFIX
11,TakeProfitTrader - PRO 50K - Funded only,TakeProfitTrader,PRO 50K,4,2,2026-08,funded,1,48133.0,48133.0,0.0,0.0,48000.0,0.0,0.0,0.0,0.0,0.0,terminal,2,11,ACCOUNT_STATE_BEFORE_PREFIX
12,Apex Trader Funding - EOD PA 50K - Funded only,Apex Trader Funding,EOD PA 50K,1,1,2026-07,funded,1,50000.0,49854.25,-145.75,400.0,48000.0,0.0,0.0,0.0,0.0,0.0,active,3,12,ACCOUNT_STATE_BEFORE_PREFIX
12,Apex Trader Funding - EOD PA 50K - Funded only,Apex Trader Funding,EOD PA 50K,1,2,2026-08,funded,1,49854.25,50028.158648589335,173.90864858933128,306.0,48028.158648589335,0.0,0.0,0.0,0.0,0.0,active,3,12,ACCOUNT_STATE_BEFORE_PREFIX
13,Apex Trader Funding - EOD PA 50K - Funded only,Apex Trader Funding,EOD PA 50K,4,1,2026-07,funded,1,50000.0,49417.0,-583.0,1600.0,48000.0,0.0,0.0,0.0,0.0,0.0,active,3,13,ACCOUNT_STATE_BEFORE_PREFIX
13,Apex Trader Funding - EOD PA 50K - Funded only,Apex Trader Funding,EOD PA 50K,4,2,2026-08,funded,1,49417.0,48193.0,-1224.0,1628.448933602951,48000.0,0.0,0.0,0.0,0.0,0.0,terminal,3,13,ACCOUNT_STATE_BEFORE_PREFIX
14,TakeProfitTrader - PRO 50K - Funded only,TakeProfitTrader,PRO 50K,1,1,2026-07,funded,1,50000.0,49854.25,-145.75,400.0,48000.0,0.0,0.0,0.0,0.0,0.0,active,3,14,ACCOUNT_STATE_BEFORE_PREFIX
14,TakeProfitTrader - PRO 50K - Funded only,TakeProfitTrader,PRO 50K,1,2,2026-08,funded,1,49854.25,50028.158648589335,173.90864858933128,306.0,48045.65842677069,0.0,0.0,0.0,0.0,0.0,active,3,14,ACCOUNT_STATE_BEFORE_PREFIX
15,TakeProfitTrader - PRO 50K - Funded only,TakeProfitTrader,PRO 50K,4,1,2026-07,funded,1,50000.0,49417.0,-583.0,1600.0,48000.0,0.0,0.0,0.0,0.0,0.0,active,3,15,ACCOUNT_STATE_BEFORE_PREFIX
15,TakeProfitTrader - PRO 50K - Funded only,TakeProfitTrader,PRO 50K,4,2,2026-08,funded,1,49417.0,48193.0,-1224.0,1628.448933602951,48000.0,0.0,0.0,0.0,0.0,0.0,terminal,3,15,ACCOUNT_STATE_BEFORE_PREFIX
16,Apex Trader Funding - EOD PA 50K - Funded only,Apex Trader Funding,EOD PA 50K,1,1,2026-07,funded,1,50000.0,50309.78016239614,309.78016239614226,547.1616649705247,48309.78016239614,0.0,0.0,0.0,0.0,0.0,active,4,16,ACCOUNT_STATE_BEFORE_PREFIX
16,Apex Trader Funding - EOD PA 50K - Funded only,Apex Trader Funding,EOD PA 50K,1,2,2026-08,funded,1,50309.78016239614,50427.53016239614,117.75,0.0,48456.03016239614,0.0,0.0,0.0,0.0,0.0,active,4,16,ACCOUNT_STATE_BEFORE_PREFIX
17,Apex Trader Funding - EOD PA 50K - Funded only,Apex Trader Funding,EOD PA 50K,4,1,2026-07,funded,1,50000.0,48400.0,-1600.0,2286.646659882099,48000.0,0.0,0.0,0.0,0.0,0.0,terminal,4,17,ACCOUNT_STATE_BEFORE_PREFIX
17,Apex Trader Funding - EOD PA 50K - Funded only,Apex Trader Funding,EOD PA 50K,4,2,2026-08,funded,1,48400.0,48400.0,0.0,0.0,48000.0,0.0,0.0,0.0,0.0,0.0,terminal,4,17,ACCOUNT_STATE_BEFORE_PREFIX
18,TakeProfitTrader - PRO 50K - Funded only,TakeProfitTrader,PRO 50K,1,1,2026-07,funded,1,50000.0,50309.78016239614,309.78016239614226,547.1616649705247,48398.361286029605,0.0,0.0,0.0,0.0,0.0,active,4,18,ACCOUNT_STATE_BEFORE_PREFIX
