rr_config_id,path_id,master_seed,mc_seed,prefix_application_basis,pf_scenario,regime_scenario,point_scale_scenario,realized_prefix_net_points,forward_only_net_points,combined_net_points,synthetic_trades,unknown_realized_excursions
1rr,0,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,PF_1_35,stable,current,-50.0,-226.9157351295653,-276.9157351295653,20,2
1rr,1,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,PF_1_35,stable,current,-50.0,-53.02928043235079,-103.02928043235079,20,2
1rr,2,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,PF_1_35,stable,current,-50.0,33.68826838668065,-16.311731613319353,20,2
1rr,3,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,PF_1_35,stable,current,-50.0,184.26682429466564,134.26682429466564,20,2
1rr,4,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,PF_1_35,stable,current,-50.0,8.88988708238685,-41.11011291761315,20,2
1rr,5,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,PF_1_35,stable,current,-50.0,-257.625,-307.625,20,2
1rr,6,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,PF_1_35,stable,current,-50.0,-212.70583248526236,-262.70583248526236,20,2
1rr,7,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,PF_1_35,stable,current,-50.0,-71.39256409858172,-121.39256409858172,20,2
1rr,8,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,PF_1_35,stable,current,-50.0,-109.52808302398807,-159.52808302398807,20,2
1rr,9,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,PF_1_35,stable,current,-50.0,96.75,46.75,20,2
1rr,10,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,PF_1_35,stable,current,-50.0,-100.5,-150.5,20,2
1rr,11,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,PF_1_35,stable,current,-50.0,16.875,-33.125,20,2
1rr,12,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,PF_1_35,stable,current,-50.0,-355.73317570533436,-405.73317570533436,20,2
1rr,13,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,PF_1_35,stable,current,-50.0,114.125,64.125,20,2
1rr,14,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,PF_1_35,stable,current,-50.0,-219.75,-269.75,20,2
1rr,15,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,PF_1_35,stable,current,-50.0,4.834264870434708,-45.16573512956529,20,2
1rr,16,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,PF_1_35,stable,current,-50.0,91.08426487043471,41.08426487043471,20,2
1rr,17,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,PF_1_35,stable,current,-50.0,-189.76245613768515,-239.76245613768515,20,2
1rr,18,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,PF_1_35,stable,current,-50.0,202.875,152.875,20,2
1rr,19,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,PF_1_35,stable,current,-50.0,-282.375,-332.375,20,2
1rr,20,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,PF_1_35,stable,current,-50.0,186.26682429466564,136.26682429466564,20,2
1rr,21,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,PF_1_35,stable,current,-50.0,-136.69501556191608,-186.69501556191608,20,2
1rr,22,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,PF_1_35,stable,current,-50.0,-110.63939334996394,-160.63939334996394,20,2
1rr,23,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,PF_1_35,stable,current,-50.0,203.8457195676492,153.8457195676492,20,2
1rr,24,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,PF_1_35,stable,current,-50.0,29.625,-20.375,20,2
1rr,25,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,PF_1_35,stable,current,-50.0,-44.625,-94.625,20,2
1rr,26,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,PF_1_35,stable,current,-50.0,166.81326838668065,116.81326838668065,20,2
1rr,27,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,PF_1_35,stable,current,-50.0,78.875,28.875,20,2
1rr,28,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,PF_1_35,stable,current,-50.0,-213.9042804323508,-263.9042804323508,20,2
1rr,29,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,PF_1_35,stable,current,-50.0,100.56326838668065,50.56326838668065,20,2
1rr,30,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,PF_1_35,stable,current,-50.0,-321.06173161331935,-371.06173161331935,20,2
1rr,31,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,PF_1_35,stable,current,-50.0,139.7207195676492,89.72071956764921,20,2
1rr,32,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,PF_1_35,stable,current,-50.0,-247.1657351295653,-297.1657351295653,20,2
1rr,33,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,PF_1_35,stable,current,-50.0,205.3457195676492,155.3457195676492,20,2
1rr,34,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,PF_1_35,stable,current,-50.0,166.12843238517235,116.12843238517235,20,2
1rr,35,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,PF_1_35,stable,current,-50.0,-124.20583248526236,-174.20583248526236,20,2
1rr,36,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,PF_1_35,stable,current,-50.0,38.56326838668065,-11.436731613319353,20,2
1rr,37,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,PF_1_35,stable,current,-50.0,-47.02928043235079,-97.02928043235079,20,2
1rr,38,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,PF_1_35,stable,current,-50.0,-326.0292804323508,-376.0292804323508,20,2
1rr,39,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,PF_1_35,stable,current,-50.0,69.53398795432986,19.53398795432986,20,2
1rr,40,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,PF_1_35,stable,current,-50.0,195.75,145.75,20,2
1rr,41,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,PF_1_35,stable,current,-50.0,129.0,79.0,20,2
1rr,42,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,PF_1_35,stable,current,-50.0,300.81326838668065,250.81326838668065,20,2
1rr,43,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,PF_1_35,stable,current,-50.0,-244.58083248526236,-294.58083248526236,20,2
1rr,44,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,PF_1_35,stable,current,-50.0,-174.375,-224.375,20,2
1rr,45,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,PF_1_35,stable,current,-50.0,-151.125,-201.125,20,2
1rr,46,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,PF_1_35,stable,current,-50.0,-440.625,-490.625,20,2
