rr_config_id,path_id,master_seed,mc_seed,prefix_application_basis,pf_scenario,regime_scenario,point_scale_scenario,realized_prefix_net_points,forward_only_net_points,combined_net_points,synthetic_trades,unknown_realized_excursions
1rr,47,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,PF_1_35,stable,current,-50.0,20.625,-29.375,20,2
1rr,48,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,PF_1_35,stable,current,-50.0,-203.85817570533436,-253.85817570533436,20,2
1rr,49,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,PF_1_35,stable,current,-50.0,71.80498443808392,21.80498443808392,20,2
1rr,50,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,PF_1_35,stable,current,-50.0,-513.9116649705247,-563.9116649705247,20,2
1rr,51,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,PF_1_35,stable,current,-50.0,69.68826838668065,19.688268386680647,20,2
1rr,52,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,PF_1_35,stable,current,-50.0,-112.0,-162.0,20,2
1rr,53,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,PF_1_35,stable,current,-50.0,45.89182429466564,-4.108175705334361,20,2
1rr,54,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,PF_1_35,stable,current,-50.0,-48.98317570533436,-98.98317570533436,20,2
1rr,55,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,PF_1_35,stable,current,-50.0,27.313268386680647,-22.686731613319353,20,2
1rr,56,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,PF_1_35,stable,current,-50.0,-309.6890081905967,-359.6890081905967,20,2
1rr,57,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,PF_1_35,stable,current,-50.0,240.31326838668065,190.31326838668065,20,2
1rr,58,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,PF_1_35,stable,current,-50.0,41.76682429466564,-8.23317570533436,20,2
1rr,59,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,PF_1_35,stable,current,-50.0,-224.44501556191608,-274.4450155619161,20,2
1rr,60,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,PF_1_35,stable,current,-50.0,-72.375,-122.375,20,2
1rr,61,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,PF_1_35,stable,current,-50.0,20.25,-29.75,20,2
1rr,62,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,PF_1_35,stable,current,-50.0,131.9707195676492,81.97071956764921,20,2
1rr,63,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,PF_1_35,stable,current,-50.0,18.272533257115356,-31.727466742884644,20,2
1rr,64,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,PF_1_35,stable,current,-50.0,-88.56173161331935,-138.56173161331935,20,2
1rr,65,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,PF_1_35,stable,current,-50.0,122.625,72.625,20,2
1rr,66,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,PF_1_35,stable,current,-50.0,109.04416751473764,59.04416751473764,20,2
1rr,67,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,PF_1_35,stable,current,-50.0,-467.25,-517.25,20,2
1rr,68,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,PF_1_35,stable,current,-50.0,-141.35474332016202,-191.35474332016202,20,2
1rr,69,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,PF_1_35,stable,current,-50.0,268.25,218.25,20,2
1rr,70,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,PF_1_35,stable,current,-50.0,353.875,303.875,20,2
1rr,71,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,PF_1_35,stable,current,-50.0,-13.71601204567014,-63.71601204567014,20,2
1rr,72,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,PF_1_35,stable,current,-50.0,-284.979743320162,-334.979743320162,20,2
1rr,73,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,PF_1_35,stable,current,-50.0,-56.02928043235079,-106.02928043235079,20,2
1rr,74,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,PF_1_35,stable,current,-50.0,-23.625,-73.625,20,2
1rr,75,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,PF_1_35,stable,current,-50.0,-41.33083248526236,-91.33083248526236,20,2
1rr,76,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,PF_1_35,stable,current,-50.0,20.845719567649212,-29.154280432350788,20,2
1rr,77,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,PF_1_35,stable,current,-50.0,-125.43900819059672,-175.43900819059672,20,2
1rr,78,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,PF_1_35,stable,current,-50.0,-246.23317570533436,-296.23317570533436,20,2
1rr,79,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,PF_1_35,stable,current,-50.0,-35.09101204567014,-85.09101204567014,20,2
1rr,80,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,PF_1_35,stable,current,-50.0,-164.625,-214.625,20,2
1rr,81,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,PF_1_35,stable,current,-50.0,-454.5,-504.5,20,2
1rr,82,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,PF_1_35,stable,current,-50.0,-172.24656761482765,-222.24656761482765,20,2
1rr,83,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,PF_1_35,stable,current,-50.0,39.29416751473764,-10.705832485262363,20,2
1rr,84,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,PF_1_35,stable,current,-50.0,-299.625,-349.625,20,2
1rr,85,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,PF_1_35,stable,current,-50.0,-6.0,-56.0,20,2
1rr,86,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,PF_1_35,stable,current,-50.0,-257.33083248526236,-307.33083248526236,20,2
1rr,87,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,PF_1_35,stable,current,-50.0,-348.375,-398.375,20,2
1rr,88,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,PF_1_35,stable,current,-50.0,4.5,-45.5,20,2
1rr,89,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,PF_1_35,stable,current,-50.0,-28.375,-78.375,20,2
1rr,90,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,PF_1_35,stable,current,-50.0,-56.25,-106.25,20,2
1rr,91,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,PF_1_35,stable,current,-50.0,-516.4558324852624,-566.4558324852624,20,2
1rr,92,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,PF_1_35,stable,current,-50.0,-136.7456318430195,-186.7456318430195,20,2
1rr,93,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,PF_1_35,stable,current,-50.0,-227.625,-277.625,20,2
1rr,94,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,PF_1_35,stable,current,-50.0,100.94680873274956,50.94680873274956,20,2
1rr,95,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,PF_1_35,stable,current,-50.0,79.08426487043471,29.08426487043471,20,2
1rr,96,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,PF_1_35,stable,current,-50.0,-172.1263775777843,-222.1263775777843,20,2
1rr,97,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,PF_1_35,stable,current,-50.0,160.5,110.5,20,2
1rr,98,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,PF_1_35,stable,current,-50.0,147.29416751473764,97.29416751473764,20,2
1rr,99,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,PF_1_35,stable,current,-50.0,151.875,101.875,20,2
