plan,firm,account,contracts,paths,paid_before_first_blow_count,blew_before_payout_count,paid_after_rebuy_count,no_resolution_count,paid_before_first_blow_rate,first_blow_before_payout_rate,blew_before_payout_rate,payout_after_rebuy_rate,no_resolution_rate,capital_exhausted_rate,any_payout_rate,target_before_first_fail_rate,p05_net_cash,p50_net_cash,p95_net_cash,mean_net_cash,avg_net_cash,p50_payouts,avg_withdrawal,p50_withdrawal,p95_withdrawal,avg_payout_count,p50_payout_count,mean_fees,avg_fees,p50_fees,p50_month_to_first_payout,p50_days_to_first_payout,p95_max_drawdown,avg_attempts,current_account_paid_first_rate,current_account_blew_first_rate,paid_before_first_blow_paths,survival_score,speed_score,ev_score,convexity_score,composite_score,risk_adjusted_roi_score,prefix_application_basis
Apex Trader Funding - EOD PA 50K - Funded only,Apex Trader Funding,EOD PA 50K,4,100,1,90,0,9,0.01,0.9,0.9,0.0,0.09,0.9,0.01,0.01,0.0,0.0,0.0,14.03,14.03,0.0,14.03,0.0,0.0,0.01,0.0,0.0,0.0,0.0,2.0,34.0,2467.7824662444436,1.0,0.01,0.9,1 / 100,0.09999999999999998,0.5,100.0,100.0,45.114999999999995,45.114999999999995,ACCOUNT_STATE_BEFORE_PREFIX
Apex Trader Funding - EOD PA 50K - Funded only,Apex Trader Funding,EOD PA 50K,1,100,0,0,0,100,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1119.9555338401312,1.0,0.0,0.0,0 / 100,0.0,0.0,0.0,0.0,0.0,0.0,ACCOUNT_STATE_BEFORE_PREFIX
Alpha Futures - Advanced 50K - Funded only,Alpha Futures,Advanced 50K,1,100,0,0,0,100,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1119.9555338401312,1.0,0.0,0.0,0 / 100,0.0,0.0,0.0,0.0,0.0,0.0,ACCOUNT_STATE_BEFORE_PREFIX
Alpha Futures - Advanced 50K - Funded only,Alpha Futures,Advanced 50K,4,100,0,99,0,1,0.0,0.99,0.99,0.0,0.01,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2286.646659882099,1.0,0.0,0.99,0 / 100,0.0,0.0,0.0,0.0,0.0,0.0,ACCOUNT_STATE_BEFORE_PREFIX
