path_id,plan_key,event_order,month_index,date,stage,event,amount,balance,floor,attempt,note,strategy_path_id,prefix_application_basis
7,Apex Trader Funding - EOD PA 50K - Funded only,2,2,2026-08-18,funded,terminal,0.0,50100.0,49700.0,1,capital budget exhausted or rebuys disabled,7,ACCOUNT_STATE_BEFORE_PREFIX
7,Alpha Futures - Advanced 50K - Funded only,1,1,2026-07-13,funded,funded_failed,0.0,50100.0,49950.0,1,Drawdown breached,7,ACCOUNT_STATE_BEFORE_PREFIX
7,Alpha Futures - Advanced 50K - Funded only,2,2,2026-08-18,funded,terminal,0.0,50100.0,49950.0,1,capital budget exhausted or rebuys disabled,7,ACCOUNT_STATE_BEFORE_PREFIX
8,Apex Trader Funding - EOD PA 50K - Funded only,1,1,2026-07-13,funded,funded_failed,0.0,50100.0,49700.0,1,Drawdown breached,8,ACCOUNT_STATE_BEFORE_PREFIX
8,Apex Trader Funding - EOD PA 50K - Funded only,2,2,2026-08-18,funded,terminal,0.0,50100.0,49700.0,1,capital budget exhausted or rebuys disabled,8,ACCOUNT_STATE_BEFORE_PREFIX
8,Alpha Futures - Advanced 50K - Funded only,1,1,2026-07-13,funded,funded_failed,0.0,50100.0,49950.0,1,Drawdown breached,8,ACCOUNT_STATE_BEFORE_PREFIX
8,Alpha Futures - Advanced 50K - Funded only,2,2,2026-08-18,funded,terminal,0.0,50100.0,49950.0,1,capital budget exhausted or rebuys disabled,8,ACCOUNT_STATE_BEFORE_PREFIX
9,Apex Trader Funding - EOD PA 50K - Funded only,1,1,2026-07-10,funded,funded_failed,0.0,50100.0,49700.0,1,Drawdown breached,9,ACCOUNT_STATE_BEFORE_PREFIX
9,Apex Trader Funding - EOD PA 50K - Funded only,2,2,2026-08-18,funded,terminal,0.0,50100.0,49700.0,1,capital budget exhausted or rebuys disabled,9,ACCOUNT_STATE_BEFORE_PREFIX
9,Alpha Futures - Advanced 50K - Funded only,1,1,2026-07-10,funded,funded_failed,0.0,50100.0,49950.0,1,Drawdown breached,9,ACCOUNT_STATE_BEFORE_PREFIX
9,Alpha Futures - Advanced 50K - Funded only,2,2,2026-08-18,funded,terminal,0.0,50100.0,49950.0,1,capital budget exhausted or rebuys disabled,9,ACCOUNT_STATE_BEFORE_PREFIX
10,Apex Trader Funding - EOD PA 50K - Funded only,1,1,2026-07-10,funded,funded_failed,0.0,50100.0,49700.0,1,Drawdown breached,10,ACCOUNT_STATE_BEFORE_PREFIX
10,Apex Trader Funding - EOD PA 50K - Funded only,2,2,2026-08-18,funded,terminal,0.0,50100.0,49700.0,1,capital budget exhausted or rebuys disabled,10,ACCOUNT_STATE_BEFORE_PREFIX
10,Alpha Futures - Advanced 50K - Funded only,1,1,2026-07-10,funded,funded_failed,0.0,50100.0,49950.0,1,Drawdown breached,10,ACCOUNT_STATE_BEFORE_PREFIX
10,Alpha Futures - Advanced 50K - Funded only,2,2,2026-08-18,funded,terminal,0.0,50100.0,49950.0,1,capital budget exhausted or rebuys disabled,10,ACCOUNT_STATE_BEFORE_PREFIX
11,Apex Trader Funding - EOD PA 50K - Funded only,1,1,2026-07-16,funded,funded_failed,0.0,50121.0,49700.0,1,Drawdown breached,11,ACCOUNT_STATE_BEFORE_PREFIX
11,Apex Trader Funding - EOD PA 50K - Funded only,2,2,2026-08-19,funded,terminal,0.0,50121.0,49700.0,1,capital budget exhausted or rebuys disabled,11,ACCOUNT_STATE_BEFORE_PREFIX
11,Alpha Futures - Advanced 50K - Funded only,1,1,2026-07-09,funded,funded_failed,0.0,50100.0,49950.0,1,Drawdown breached,11,ACCOUNT_STATE_BEFORE_PREFIX
11,Alpha Futures - Advanced 50K - Funded only,2,2,2026-08-19,funded,terminal,0.0,50100.0,49950.0,1,capital budget exhausted or rebuys disabled,11,ACCOUNT_STATE_BEFORE_PREFIX
12,Apex Trader Funding - EOD PA 50K - Funded only,1,1,2026-07-09,funded,funded_failed,0.0,50100.0,49700.0,1,Drawdown breached,12,ACCOUNT_STATE_BEFORE_PREFIX
12,Apex Trader Funding - EOD PA 50K - Funded only,2,2,2026-08-18,funded,terminal,0.0,50100.0,49700.0,1,capital budget exhausted or rebuys disabled,12,ACCOUNT_STATE_BEFORE_PREFIX
12,Alpha Futures - Advanced 50K - Funded only,1,1,2026-07-09,funded,funded_failed,0.0,50100.0,49950.0,1,Drawdown breached,12,ACCOUNT_STATE_BEFORE_PREFIX
12,Alpha Futures - Advanced 50K - Funded only,2,2,2026-08-18,funded,terminal,0.0,50100.0,49950.0,1,capital budget exhausted or rebuys disabled,12,ACCOUNT_STATE_BEFORE_PREFIX
13,Apex Trader Funding - EOD PA 50K - Funded only,1,1,2026-07-20,funded,funded_failed,0.0,50133.0,49700.0,1,Drawdown breached,13,ACCOUNT_STATE_BEFORE_PREFIX
13,Apex Trader Funding - EOD PA 50K - Funded only,2,2,2026-08-18,funded,terminal,0.0,50133.0,49700.0,1,capital budget exhausted or rebuys disabled,13,ACCOUNT_STATE_BEFORE_PREFIX
13,Alpha Futures - Advanced 50K - Funded only,1,1,2026-07-16,funded,funded_failed,0.0,50100.0,49950.0,1,Drawdown breached,13,ACCOUNT_STATE_BEFORE_PREFIX
13,Alpha Futures - Advanced 50K - Funded only,2,2,2026-08-18,funded,terminal,0.0,50100.0,49950.0,1,capital budget exhausted or rebuys disabled,13,ACCOUNT_STATE_BEFORE_PREFIX
14,Apex Trader Funding - EOD PA 50K - Funded only,1,1,2026-07-13,funded,funded_failed,0.0,50190.0,49700.0,1,Drawdown breached,14,ACCOUNT_STATE_BEFORE_PREFIX
14,Apex Trader Funding - EOD PA 50K - Funded only,2,2,2026-08-18,funded,terminal,0.0,50190.0,49700.0,1,capital budget exhausted or rebuys disabled,14,ACCOUNT_STATE_BEFORE_PREFIX
