plan_key,firm,account_name,contracts,path_id,seed,failed,terminal_stage,attempts,eval_passes,funded_failures,payouts_taken,first_payout_month,first_payout_day,first_payout_order,first_failure_month,first_failure_day,first_failure_order,total_payouts,total_fees,net_cash,roi_on_fees,ending_balance,ending_floor,max_drawdown,target_hit,cushion_ok_after_payout,strict_known_failure_rate,strict_unknown_rate,realized_only_failure_rate,conservative_bound_failure_rate,allocation_id
Apex Trader Funding - EOD PA 50K - Funded only,Apex Trader Funding,EOD PA 50K,1,0,0,False,funded,1,0,0,0,,,,,,,0.0,0.0,0.0,,50010.0,48020.0,20.0,False,False,0.0,0.0,0.0,0.0,0
Apex Trader Funding - EOD PA 50K - Funded only,Apex Trader Funding,EOD PA 50K,1,0,0,False,funded,1,0,0,0,,,,,,,0.0,0.0,0.0,,50090.0,48120.0,120.0,False,False,0.0,0.0,0.0,0.0,1
