plan,firm,account,contracts,paths,paid_before_first_blow_count,blew_before_payout_count,paid_after_rebuy_count,no_resolution_count,paid_before_first_blow_rate,first_blow_before_payout_rate,blew_before_payout_rate,payout_after_rebuy_rate,no_resolution_rate,capital_exhausted_rate,any_payout_rate,target_before_first_fail_rate,p05_net_cash,p50_net_cash,p95_net_cash,mean_net_cash,avg_net_cash,p50_payouts,avg_withdrawal,p50_withdrawal,p95_withdrawal,avg_payout_count,p50_payout_count,mean_fees,avg_fees,p50_fees,p50_month_to_first_payout,p50_days_to_first_payout,p95_max_drawdown,avg_attempts,current_account_paid_first_rate,current_account_blew_first_rate,paid_before_first_blow_paths,survival_score,speed_score,ev_score,convexity_score,composite_score,risk_adjusted_roi_score,prefix_application_basis,realized_only_failure_trades,realized_only_trades,strict_exact_failure_trades,strict_exact_known_trades,strict_unknown_trades,strict_exact_failure_rate,strict_unknown_rate,realized_only_failure_rate
Apex Trader Funding - EOD PA 50K - Funded only,Apex Trader Funding,EOD PA 50K,4,100,20,79,0,1,0.2,0.79,0.79,0.0,0.01,0.79,0.2,0.2,0.0,0.0,2200.0,301.44,301.44,0.0,301.44,0.0,2200.0,0.28,0.0,0.0,0.0,0.0,1.0,10.0,4907.25,1.0,0.2,0.79,20 / 100,4.199999999999999,20.0,100.0,100.0,49.68,49.68,ACCOUNT_STATE_BEFORE_PREFIX,87,808,87,608,200,0.14309210526315788,0.24752475247524752,0.10767326732673267
Alpha Futures - Advanced 50K - Funded only,Alpha Futures,Advanced 50K,4,100,4,96,0,0,0.04,0.96,0.96,0.0,0.0,0.96,0.04,0.04,0.0,0.0,0.0,74.6145,74.6145,0.0,74.6145,0.0,0.0,0.06,0.0,0.0,0.0,0.0,1.0,11.5,2623.6745346306852,1.0,0.04,0.96,4 / 100,0.16000000000000014,4.0,100.0,100.0,45.664,45.664,ACCOUNT_STATE_BEFORE_PREFIX,98,409,98,209,200,0.4688995215311005,0.4889975550122249,0.2396088019559902
Alpha Futures - Advanced 50K - Funded only,Alpha Futures,Advanced 50K,1,100,5,4,0,91,0.05,0.04,0.04,0.0,0.91,0.04,0.05,0.05,0.0,0.0,45.19687499999743,47.246625,47.246625,0.0,47.246625,0.0,45.19687499999743,0.05,0.0,0.0,0.0,0.0,2.0,34.0,2113.3124999999995,1.0,0.05,0.04,5 / 100,4.8,2.5,0.0,0.0,2.295,2.295,ACCOUNT_STATE_BEFORE_PREFIX,4,2191,4,1991,200,0.0020090406830738324,0.09128251939753537,0.0018256503879507074
Apex Trader Funding - EOD PA 50K - Funded only,Apex Trader Funding,EOD PA 50K,1,100,0,2,0,98,0.0,0.02,0.02,0.0,0.98,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2113.3124999999995,1.0,0.0,0.02,0 / 100,0.0,0.0,0.0,0.0,0.0,0.0,ACCOUNT_STATE_BEFORE_PREFIX,2,2198,2,1998,200,0.001001001001001001,0.09099181073703366,0.0009099181073703367
