path_id,plan_key,event_order,month_index,date,stage,event,amount,balance,floor,attempt,note,strategy_path_id,account_path_id,prefix_application_basis
1,Apex Trader Funding - EOD PA 50K - Funded only,1,1,2026-07-10,funded,funded_failed,0.0,48400.0,48000.0,1,Drawdown breached,0,1,ACCOUNT_STATE_BEFORE_PREFIX
1,Apex Trader Funding - EOD PA 50K - Funded only,2,2,2026-08-18,funded,terminal,0.0,48400.0,48000.0,1,capital budget exhausted or rebuys disabled,0,1,ACCOUNT_STATE_BEFORE_PREFIX
3,Alpha Futures - Advanced 50K - Funded only,1,1,2026-07-10,funded,funded_failed,0.0,48400.0,48250.0,1,Drawdown breached,0,3,ACCOUNT_STATE_BEFORE_PREFIX
3,Alpha Futures - Advanced 50K - Funded only,2,2,2026-08-18,funded,terminal,0.0,48400.0,48250.0,1,capital budget exhausted or rebuys disabled,0,3,ACCOUNT_STATE_BEFORE_PREFIX
5,Apex Trader Funding - EOD PA 50K - Funded only,1,1,2026-07-20,funded,payout,1500.0,52100.0,50100.0,1,Payout taken; consistency state reset; gross_account_debit=1500.00; trader_profit_split=1.00,1,5,ACCOUNT_STATE_BEFORE_PREFIX
5,Apex Trader Funding - EOD PA 50K - Funded only,2,2,2026-08-11,funded,payout,1500.0,55634.0,50100.0,1,Payout taken; consistency state reset; gross_account_debit=1500.00; trader_profit_split=1.00,1,5,ACCOUNT_STATE_BEFORE_PREFIX
6,Alpha Futures - Advanced 50K - Funded only,1,2,2026-08-11,funded,payout,971.325,51079.25,50000.0,1,Payout taken; consistency state reset; gross_account_debit=1079.25; trader_profit_split=0.90,1,6,ACCOUNT_STATE_BEFORE_PREFIX
7,Alpha Futures - Advanced 50K - Funded only,1,1,2026-07-09,funded,funded_failed,0.0,48400.0,48250.0,1,Drawdown breached,1,7,ACCOUNT_STATE_BEFORE_PREFIX
7,Alpha Futures - Advanced 50K - Funded only,2,2,2026-08-18,funded,terminal,0.0,48400.0,48250.0,1,capital budget exhausted or rebuys disabled,1,7,ACCOUNT_STATE_BEFORE_PREFIX
9,Apex Trader Funding - EOD PA 50K - Funded only,1,1,2026-07-09,funded,funded_failed,0.0,48400.0,48000.0,1,Drawdown breached,2,9,ACCOUNT_STATE_BEFORE_PREFIX
9,Apex Trader Funding - EOD PA 50K - Funded only,2,2,2026-08-18,funded,terminal,0.0,48400.0,48000.0,1,capital budget exhausted or rebuys disabled,2,9,ACCOUNT_STATE_BEFORE_PREFIX
11,Alpha Futures - Advanced 50K - Funded only,1,1,2026-07-09,funded,funded_failed,0.0,48400.0,48250.0,1,Drawdown breached,2,11,ACCOUNT_STATE_BEFORE_PREFIX
11,Alpha Futures - Advanced 50K - Funded only,2,2,2026-08-18,funded,terminal,0.0,48400.0,48250.0,1,capital budget exhausted or rebuys disabled,2,11,ACCOUNT_STATE_BEFORE_PREFIX
13,Apex Trader Funding - EOD PA 50K - Funded only,1,1,2026-07-10,funded,funded_failed,0.0,48400.0,48000.0,1,Drawdown breached,3,13,ACCOUNT_STATE_BEFORE_PREFIX
13,Apex Trader Funding - EOD PA 50K - Funded only,2,2,2026-08-18,funded,terminal,0.0,48400.0,48000.0,1,capital budget exhausted or rebuys disabled,3,13,ACCOUNT_STATE_BEFORE_PREFIX
15,Alpha Futures - Advanced 50K - Funded only,1,1,2026-07-10,funded,funded_failed,0.0,48400.0,48250.0,1,Drawdown breached,3,15,ACCOUNT_STATE_BEFORE_PREFIX
15,Alpha Futures - Advanced 50K - Funded only,2,2,2026-08-18,funded,terminal,0.0,48400.0,48250.0,1,capital budget exhausted or rebuys disabled,3,15,ACCOUNT_STATE_BEFORE_PREFIX
17,Apex Trader Funding - EOD PA 50K - Funded only,1,2,2026-08-06,funded,payout,700.0,52100.0,50100.0,1,Payout taken; consistency state reset; gross_account_debit=700.00; trader_profit_split=1.00,4,17,ACCOUNT_STATE_BEFORE_PREFIX
17,Apex Trader Funding - EOD PA 50K - Funded only,2,2,2026-08-14,funded,funded_failed,0.0,50900.0,50100.0,1,Drawdown breached,4,17,ACCOUNT_STATE_BEFORE_PREFIX
17,Apex Trader Funding - EOD PA 50K - Funded only,3,2,2026-08-18,funded,terminal,0.0,50900.0,50100.0,1,capital budget exhausted or rebuys disabled,4,17,ACCOUNT_STATE_BEFORE_PREFIX
