plan,firm,account,contracts,paths,paid_before_first_blow_count,blew_before_payout_count,paid_after_rebuy_count,no_resolution_count,paid_before_first_blow_rate,first_blow_before_payout_rate,blew_before_payout_rate,payout_after_rebuy_rate,no_resolution_rate,capital_exhausted_rate,any_payout_rate,target_before_first_fail_rate,p05_net_cash,p50_net_cash,p95_net_cash,mean_net_cash,avg_net_cash,p50_payouts,avg_withdrawal,p50_withdrawal,p95_withdrawal,avg_payout_count,p50_payout_count,mean_fees,avg_fees,p50_fees,p50_month_to_first_payout,p50_days_to_first_payout,p95_max_drawdown,avg_attempts,current_account_paid_first_rate,current_account_blew_first_rate,paid_before_first_blow_paths,survival_score,speed_score,ev_score,convexity_score,composite_score,risk_adjusted_roi_score,prefix_application_basis,realized_only_failure_trades,realized_only_trades,strict_exact_failure_trades,strict_exact_known_trades,strict_unknown_trades,strict_exact_failure_rate,strict_unknown_rate,realized_only_failure_rate
Apex Trader Funding - EOD PA 50K - Funded only,Apex Trader Funding,EOD PA 50K,4,100,36,60,0,4,0.36,0.6,0.6,0.0,0.04,0.6,0.36,0.36,0.0,0.0,1500.0,555.0,555.0,0.0,555.0,0.0,1500.0,0.37,0.0,0.0,0.0,0.0,2.0,30.0,10090.5,1.0,0.36,0.6,36 / 100,14.4,18.0,100.0,100.0,53.46,53.46,ACCOUNT_STATE_BEFORE_PREFIX,65,1198,65,998,200,0.06513026052104208,0.1669449081803005,0.05425709515859766
TakeProfitTrader - PRO 50K - Funded only,TakeProfitTrader,PRO 50K,1,100,34,0,0,66,0.34,0.0,0.0,0.0,0.66,0.0,0.34,0.34,0.0,0.0,1817.65,586.18,586.18,0.0,586.18,0.0,1817.65,0.34,0.0,0.0,0.0,0.0,2.0,31.0,2672.5752665992622,1.0,0.34,0.0,34 / 100,34.0,17.0,100.0,0.0,46.15,46.15,ACCOUNT_STATE_BEFORE_PREFIX,30,2032,30,1832,200,0.016375545851528384,0.0984251968503937,0.014763779527559055
Apex Trader Funding - EOD PA 50K - Funded only,Apex Trader Funding,EOD PA 50K,1,100,14,0,0,86,0.14,0.0,0.0,0.0,0.86,0.0,0.14,0.14,0.0,0.0,771.5,104.23,104.23,0.0,104.23,0.0,771.5,0.15,0.0,0.0,0.0,0.0,2.0,35.0,3271.5,1.0,0.14,0.0,14 / 100,14.000000000000002,7.000000000000001,0.0,0.0,6.650000000000001,6.650000000000001,ACCOUNT_STATE_BEFORE_PREFIX,0,2200,0,2000,200,0.0,0.09090909090909091,0.0
TakeProfitTrader - PRO 50K - Funded only,TakeProfitTrader,PRO 50K,4,100,0,100,0,0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2342.2329942576907,1.0,0.0,1.0,0 / 100,0.0,0.0,0.0,0.0,0.0,0.0,ACCOUNT_STATE_BEFORE_PREFIX,100,351,100,151,200,0.6622516556291391,0.5698005698005698,0.2849002849002849
