strategy_id,instrument,entry_time,exit_time,direction,pnl_points,dollars_per_point,commission_round_turn,result_type,session
nq_fade,NQ,2024-01-02T14:30:00Z,2024-01-02T14:55:00Z,long,-43.9,2.0,0.0,loss,RTH
nq_fade,NQ,2024-01-03T14:30:00Z,2024-01-03T14:55:00Z,long,0.0,2.0,0.0,breakeven,RTH
nq_fade,NQ,2024-01-04T14:30:00Z,2024-01-04T14:55:00Z,long,46.9,2.0,0.0,win,RTH
nq_fade,NQ,2024-01-05T14:30:00Z,2024-01-05T14:55:00Z,long,-23.6,2.0,0.0,loss,RTH
nq_fade,NQ,2024-01-08T14:30:00Z,2024-01-08T14:55:00Z,short,-137.0,2.0,0.0,loss,RTH
nq_fade,NQ,2024-01-11T14:30:00Z,2024-01-11T14:55:00Z,short,0.0,2.0,0.0,breakeven,RTH
nq_fade,NQ,2024-01-11T14:35:00Z,2024-01-11T15:00:00Z,short,18.8,2.0,0.0,win,RTH
nq_fade,NQ,2024-01-16T14:30:00Z,2024-01-16T14:55:00Z,long,0.0,2.0,0.0,breakeven,RTH
nq_fade,NQ,2024-01-16T14:35:00Z,2024-01-16T15:00:00Z,long,41.6,2.0,0.0,win,RTH
nq_fade,NQ,2024-01-17T14:30:00Z,2024-01-17T14:55:00Z,long,109.3,2.0,0.0,win,RTH
nq_fade,NQ,2024-01-17T14:35:00Z,2024-01-17T15:00:00Z,long,135.2,2.0,0.0,win,RTH
nq_fade,NQ,2024-01-17T14:40:00Z,2024-01-17T15:05:00Z,long,126.0,2.0,0.0,win,RTH
nq_fade,NQ,2024-01-18T14:30:00Z,2024-01-18T14:55:00Z,short,-87.0,2.0,0.0,loss,RTH
nq_fade,NQ,2024-01-19T14:30:00Z,2024-01-19T14:55:00Z,short,0.0,2.0,0.0,breakeven,RTH
nq_fade,NQ,2024-01-19T14:35:00Z,2024-01-19T15:00:00Z,short,0.0,2.0,0.0,breakeven,RTH
nq_fade,NQ,2024-01-19T14:40:00Z,2024-01-19T15:05:00Z,short,0.0,2.0,0.0,breakeven,RTH
nq_fade,NQ,2024-01-19T14:45:00Z,2024-01-19T15:10:00Z,short,-64.1,2.0,0.0,loss,RTH
nq_fade,NQ,2024-01-24T14:30:00Z,2024-01-24T14:55:00Z,short,-28.5,2.0,0.0,loss,RTH
nq_fade,NQ,2024-01-26T14:30:00Z,2024-01-26T14:55:00Z,long,-31.9,2.0,0.0,loss,RTH
nq_fade,NQ,2024-01-31T14:30:00Z,2024-01-31T14:55:00Z,long,-41.3,2.0,0.0,loss,RTH
nq_fade,NQ,2024-02-07T14:30:00Z,2024-02-07T14:55:00Z,short,-41.7,2.0,0.0,loss,RTH
nq_fade,NQ,2024-02-09T14:30:00Z,2024-02-09T14:55:00Z,short,-38.3,2.0,0.0,loss,RTH
nq_fade,NQ,2024-02-13T14:30:00Z,2024-02-13T14:55:00Z,long,-28.5,2.0,0.0,loss,RTH
nq_fade,NQ,2024-02-16T14:30:00Z,2024-02-16T14:55:00Z,short,40.9,2.0,0.0,win,RTH
nq_fade,NQ,2024-02-20T14:30:00Z,2024-02-20T14:55:00Z,long,0.0,2.0,0.0,breakeven,RTH
nq_fade,NQ,2024-02-20T14:35:00Z,2024-02-20T15:00:00Z,long,41.6,2.0,0.0,win,RTH
nq_fade,NQ,2024-02-20T14:40:00Z,2024-02-20T15:05:00Z,long,-64.5,2.0,0.0,loss,RTH
nq_fade,NQ,2024-02-22T14:30:00Z,2024-02-22T14:55:00Z,short,-54.4,2.0,0.0,loss,RTH
nq_fade,NQ,2024-02-23T14:30:00Z,2024-02-23T14:55:00Z,short,76.5,2.0,0.0,win,RTH
nq_fade,NQ,2024-02-28T14:30:00Z,2024-02-28T14:55:00Z,long,0.0,2.0,0.0,breakeven,RTH
nq_fade,NQ,2024-02-29T14:30:00Z,2024-02-29T14:55:00Z,long,48.0,2.0,0.0,win,RTH
nq_fade,NQ,2024-03-01T14:30:00Z,2024-03-01T14:55:00Z,short,24.0,2.0,0.0,win,RTH
nq_fade,NQ,2024-03-01T14:35:00Z,2024-03-01T15:00:00Z,short,-94.9,2.0,0.0,loss,RTH
nq_fade,NQ,2024-03-05T14:30:00Z,2024-03-05T14:55:00Z,long,0.0,2.0,0.0,breakeven,RTH
nq_fade,NQ,2024-03-05T14:35:00Z,2024-03-05T15:00:00Z,long,0.0,2.0,0.0,breakeven,RTH
nq_fade,NQ,2024-03-08T14:30:00Z,2024-03-08T14:55:00Z,short,0.0,2.0,0.0,breakeven,RTH
nq_fade,NQ,2024-03-12T14:30:00Z,2024-03-12T14:55:00Z,short,-28.4,2.0,0.0,loss,RTH
nq_fade,NQ,2024-03-15T14:30:00Z,2024-03-15T14:55:00Z,long,76.5,2.0,0.0,win,RTH
nq_fade,NQ,2024-03-18T14:30:00Z,2024-03-18T14:55:00Z,short,40.1,2.0,0.0,win,RTH
nq_fade,NQ,2024-03-19T14:30:00Z,2024-03-19T14:55:00Z,long,-50.6,2.0,0.0,loss,RTH
nq_fade,NQ,2024-03-20T14:30:00Z,2024-03-20T14:55:00Z,short,0.0,2.0,0.0,breakeven,RTH
nq_fade,NQ,2024-03-21T14:30:00Z,2024-03-21T14:55:00Z,short,-54.4,2.0,0.0,loss,RTH
nq_fade,NQ,2024-03-22T14:30:00Z,2024-03-22T14:55:00Z,long,0.0,2.0,0.0,breakeven,RTH
nq_fade,NQ,2024-03-27T14:30:00Z,2024-03-27T14:55:00Z,long,0.0,2.0,0.0,breakeven,RTH
nq_fade,NQ,2024-04-02T14:30:00Z,2024-04-02T14:55:00Z,long,-66.0,2.0,0.0,loss,RTH
nq_fade,NQ,2024-04-04T14:30:00Z,2024-04-04T14:55:00Z,short,0.0,2.0,0.0,breakeven,RTH
